name,phone_number,address,birth_date,email_address,client_code
Christopher Harris,+1-988-619-0621x6084,"03856 Burns Pike East Pennyborough, IN 82422",1963-12-29,christopher.harris@example.com,2ffbb1c5-845f-45d1-b0a4-ad510b183cac
Gary Hunter,(175)551-7563x7606,"0698 Patel Falls Apt. 866 Kevinchester, NH 82869",1938-05-18,gary.hunter@example.com,3f936d01-afe6-4cb6-aaf1-3a8d51dd1f0b
Tyler Rodriguez,(220)867-9192x1647,"5505 Simmons Crest Apt. 247 Myersfort, NH 99056",1960-01-31,tyler.rodriguez@example.com,13de2636-fd02-46e8-8a3e-4b743b9dbec9
Rebekah Cervantes DDS,3306873221,"06037 James Drive Apt. 905 East Kevinchester, ID 92157",1990-01-13,rebekah.dds@example.com,2262aef3-0d06-4615-832c-22fbf550b61d
Felicia Leonard,(909)179-1641x31810,"270 Megan Points Apt. 571 Charlesbury, MT 36109",2003-02-21,felicia.leonard@example.com,9fc0272a-ecd5-4de8-aefc-f1e3afff6e55
Alexander Robertson,346-552-6568x0881,"401 Richard Bypass Victoriaburgh, VT 55186",1966-12-09,alexander.robertson@example.com,ef43bb14-e7e5-4d6e-b373-5eada8519784
Jonathan Hayes,(413)110-4400,"953 Jeffrey Walks West Margaretburgh, PA 44147",1965-06-01,jonathan.hayes@example.com,2215b4a7-d06a-44ea-b43c-7a266743d852
Kelly Bailey,+1-604-398-8538x277,"47379 Brian Street Suite 314 Kaylamouth, DC 20178",2006-02-05,kelly.bailey@example.com,5e176c57-033a-4e39-a698-a63154307c78
Jennifer Knox,+1-888-107-7435x0183,"6570 Rhonda Estates Suite 703 Lake Brittanychester, KY 93736",1970-06-12,jennifer.knox@example.com,cc15e3ee-b3da-4dcb-9cf5-a1d826b8917d
Elaine Briggs,623.650.9489x95186,"36083 Christensen Oval Mooretown, OR 92760",1948-02-09,elaine.briggs@example.com,fa7c68fa-7212-4150-8e25-4d966a50578d
Michael Yu,(773)469-7739,"USNS Rosales FPO AA 68228",1944-06-05,michael.yu@example.com,d6007725-0791-42f7-8fa4-506fe5ffa1f3
Shawn Page,603-000-0737,"7996 Rachel Ville Suite 112 Susanville, LA 01220",1958-07-16,shawn.page@example.com,d8b33c8b-e75d-429e-8454-ee1f329911d8
Jodi Snyder,001-782-787-4535x24801,"2601 Rhodes Tunnel Johnsonmouth, VT 31592",1976-12-09,jodi.snyder@example.com,f2d5a5c3-4283-4af8-b7c5-1531acdbc61c
Lawrence Graham,593-889-2855,"324 Peters Trail New Stephaniefort, AR 12859",1999-10-29,lawrence.graham@example.com,1cf3ad5b-0903-4408-a313-070a09ebab86
Samantha Alexander,(094)528-8494,"554 Werner Divide Lake Michaelbury, AK 93633",1979-09-14,samantha.alexander@example.com,85e31d3e-521a-4c85-8ffa-9e8f862f9012
